#    L    TT             EE             BB             TE          
     2    0.10812E+04    0.51397E-01    0.16491E-05    0.34794E+01
     3    0.10215E+04    0.85893E-01    0.32987E-05    0.43472E+01
     4    0.96148E+03    0.99165E-01    0.54990E-05    0.44884E+01
     5    0.91424E+03    0.90701E-01    0.82507E-05    0.41911E+01
     6    0.87963E+03    0.69380E-01    0.11555E-04    0.36810E+01
     7    0.85565E+03    0.45781E-01    0.15412E-04    0.31021E+01
     8    0.83973E+03    0.27113E-01    0.19824E-04    0.25440E+01
     9    0.83007E+03    0.15774E-01    0.24791E-04    0.20538E+01
    10    0.82531E+03    0.10581E-01    0.30316E-04    0.16590E+01
    11    0.82408E+03    0.88854E-02    0.36399E-04    0.13717E+01
    12    0.82657E+03    0.83788E-02    0.43042E-04    0.11944E+01
    13    0.83100E+03    0.77734E-02    0.50248E-04    0.11083E+01
    14    0.83644E+03    0.69174E-02    0.58018E-04    0.10889E+01
    15    0.84325E+03    0.61069E-02    0.66353E-04    0.11177E+01
    16    0.85188E+03    0.56480E-02    0.75256E-04    0.11787E+01
    17    0.86222E+03    0.56607E-02    0.84729E-04    0.12550E+01
    18    0.87328E+03    0.59960E-02    0.94774E-04    0.13327E+01
    19    0.88590E+03    0.64624E-02    0.10539E-03    0.14037E+01
    20    0.89842E+03    0.69493E-02    0.11659E-03    0.14608E+01
    21    0.91119E+03    0.74447E-02    0.12836E-03    0.15078E+01
    22    0.92449E+03    0.80496E-02    0.14071E-03    0.15492E+01
    23    0.93815E+03    0.88590E-02    0.15364E-03    0.15868E+01
    24    0.95222E+03    0.99206E-02    0.16716E-03    0.16222E+01
    25    0.96664E+03    0.11271E-01    0.18126E-03    0.16581E+01
    26    0.98123E+03    0.12892E-01    0.19594E-03    0.16986E+01
    27    0.99622E+03    0.14732E-01    0.21122E-03    0.17418E+01
    28    0.10115E+04    0.16763E-01    0.22708E-03    0.17863E+01
    29    0.10270E+04    0.18991E-01    0.24354E-03    0.18309E+01
    30    0.10428E+04    0.21428E-01    0.26058E-03    0.18728E+01
    31    0.10586E+04    0.24065E-01    0.27822E-03    0.19092E+01
    32    0.10748E+04    0.26876E-01    0.29645E-03    0.19369E+01
    33    0.10914E+04    0.29865E-01    0.31528E-03    0.19528E+01
    34    0.11082E+04    0.33052E-01    0.33470E-03    0.19557E+01
    35    0.11251E+04    0.36444E-01    0.35471E-03    0.19486E+01
    36    0.11420E+04    0.40055E-01    0.37532E-03    0.19331E+01
    37    0.11591E+04    0.43888E-01    0.39653E-03    0.19052E+01
    38    0.11766E+04    0.47955E-01    0.41833E-03    0.18625E+01
    39    0.11945E+04    0.52270E-01    0.44073E-03    0.18080E+01
    40    0.12125E+04    0.56853E-01    0.46372E-03    0.17454E+01
    41    0.12308E+04    0.61724E-01    0.48731E-03    0.16773E+01
    42    0.12490E+04    0.66887E-01    0.51149E-03    0.16020E+01
    43    0.12673E+04    0.72339E-01    0.53626E-03    0.15165E+01
    44    0.12857E+04    0.78065E-01    0.56162E-03    0.14191E+01
    45    0.13044E+04    0.84057E-01    0.58758E-03    0.13079E+01
    46    0.13234E+04    0.90314E-01    0.61412E-03    0.11797E+01
    47    0.13425E+04    0.96834E-01    0.64126E-03    0.10362E+01
    48    0.13617E+04    0.10362E+00    0.66898E-03    0.88267E+00
    49    0.13810E+04    0.11067E+00    0.69729E-03    0.72402E+00
    50    0.14008E+04    0.11794E+00    0.72618E-03    0.55827E+00
    51    0.14207E+04    0.12542E+00    0.75566E-03    0.38166E+00
    52    0.14410E+04    0.13319E+00    0.78572E-03    0.18900E+00
    53    0.14613E+04    0.14140E+00    0.81637E-03   -0.23475E-01
    54    0.14816E+04    0.15003E+00    0.84760E-03   -0.25152E+00
    55    0.15020E+04    0.15907E+00    0.87940E-03   -0.49078E+00
    56    0.15227E+04    0.16838E+00    0.91179E-03   -0.74300E+00
    57    0.15438E+04    0.17783E+00    0.94475E-03   -0.10078E+01
    58    0.15651E+04    0.18746E+00    0.97829E-03   -0.12857E+01
    59    0.15866E+04    0.19728E+00    0.10124E-02   -0.15771E+01
    60    0.16083E+04    0.20737E+00    0.10471E-02   -0.18809E+01
    61    0.16305E+04    0.21781E+00    0.10824E-02   -0.21962E+01
    62    0.16525E+04    0.22859E+00    0.11182E-02   -0.25240E+01
    63    0.16746E+04    0.23966E+00    0.11546E-02   -0.28659E+01
    64    0.16971E+04    0.25103E+00    0.11916E-02   -0.32233E+01
    65    0.17197E+04    0.26268E+00    0.12292E-02   -0.35973E+01
    66    0.17426E+04    0.27454E+00    0.12673E-02   -0.39862E+01
    67    0.17656E+04    0.28661E+00    0.13061E-02   -0.43871E+01
    68    0.17891E+04    0.29892E+00    0.13453E-02   -0.47981E+01
    69    0.18128E+04    0.31145E+00    0.13852E-02   -0.52170E+01
    70    0.18368E+04    0.32424E+00    0.14257E-02   -0.56452E+01
    71    0.18610E+04    0.33726E+00    0.14667E-02   -0.60849E+01
    72    0.18853E+04    0.35051E+00    0.15083E-02   -0.65374E+01
    73    0.19097E+04    0.36394E+00    0.15505E-02   -0.70035E+01
    74    0.19344E+04    0.37754E+00    0.15933E-02   -0.74823E+01
    75    0.19594E+04    0.39133E+00    0.16366E-02   -0.79724E+01
    76    0.19847E+04    0.40529E+00    0.16806E-02   -0.84732E+01
    77    0.20103E+04    0.41942E+00    0.17251E-02   -0.89848E+01
    78    0.20363E+04    0.43375E+00    0.17703E-02   -0.95084E+01
    79    0.20624E+04    0.44821E+00    0.18160E-02   -0.10041E+02
    80    0.20889E+04    0.46282E+00    0.18623E-02   -0.10583E+02
    81    0.21155E+04    0.47752E+00    0.19093E-02   -0.11135E+02
    82    0.21424E+04    0.49234E+00    0.19568E-02   -0.11697E+02
    83    0.21695E+04    0.50724E+00    0.20049E-02   -0.12267E+02
    84    0.21968E+04    0.52223E+00    0.20537E-02   -0.12845E+02
    85    0.22243E+04    0.53727E+00    0.21030E-02   -0.13430E+02
    86    0.22519E+04    0.55239E+00    0.21530E-02   -0.14022E+02
    87    0.22800E+04    0.56755E+00    0.22036E-02   -0.14621E+02
    88    0.23081E+04    0.58276E+00    0.22548E-02   -0.15225E+02
    89    0.23366E+04    0.59802E+00    0.23066E-02   -0.15837E+02
    90    0.23652E+04    0.61328E+00    0.23591E-02   -0.16453E+02
    91    0.23940E+04    0.62853E+00    0.24122E-02   -0.17075E+02
    92    0.24231E+04    0.64376E+00    0.24659E-02   -0.17702E+02
    93    0.24525E+04    0.65896E+00    0.25203E-02   -0.18334E+02
    94    0.24819E+04    0.67411E+00    0.25753E-02   -0.18969E+02
    95    0.25116E+04    0.68918E+00    0.26310E-02   -0.19608E+02
    96    0.25414E+04    0.70418E+00    0.26873E-02   -0.20251E+02
    97    0.25715E+04    0.71909E+00    0.27443E-02   -0.20897E+02
    98    0.26019E+04    0.73389E+00    0.28019E-02   -0.21543E+02
    99    0.26323E+04    0.74856E+00    0.28602E-02   -0.22192E+02
   100    0.26630E+04    0.76309E+00    0.29191E-02   -0.22841E+02
   101    0.26939E+04    0.77755E+00    0.29788E-02   -0.23491E+02
   102    0.27253E+04    0.79177E+00    0.30391E-02   -0.24141E+02
   103    0.27566E+04    0.80585E+00    0.31000E-02   -0.24792E+02
   104    0.27882E+04    0.81977E+00    0.31617E-02   -0.25441E+02
   105    0.28199E+04    0.83347E+00    0.32240E-02   -0.26088E+02
   106    0.28518E+04    0.84702E+00    0.32870E-02   -0.26734E+02
   107    0.28836E+04    0.86027E+00    0.33507E-02   -0.27377E+02
   108    0.29158E+04    0.87329E+00    0.34151E-02   -0.28018E+02
   109    0.29482E+04    0.88602E+00    0.34802E-02   -0.28654E+02
   110    0.29806E+04    0.89845E+00    0.35461E-02   -0.29286E+02
   111    0.30132E+04    0.91065E+00    0.36126E-02   -0.29914E+02
   112    0.30460E+04    0.92255E+00    0.36798E-02   -0.30537E+02
   113    0.30790E+04    0.93416E+00    0.37477E-02   -0.31154E+02
   114    0.31120E+04    0.94539E+00    0.38164E-02   -0.31765E+02
