#           k/h    P           
    0.10000E-03    0.41934E+00
    0.10202E-03    0.42752E+00
    0.10408E-03    0.43586E+00
    0.10618E-03    0.44436E+00
    0.10833E-03    0.45303E+00
    0.11052E-03    0.46187E+00
    0.11275E-03    0.47087E+00
    0.11503E-03    0.48006E+00
    0.11735E-03    0.48942E+00
    0.11972E-03    0.49897E+00
    0.12214E-03    0.50870E+00
    0.12461E-03    0.51862E+00
    0.12712E-03    0.52873E+00
    0.12969E-03    0.53904E+00
    0.13231E-03    0.54956E+00
    0.13499E-03    0.56027E+00
    0.13771E-03    0.57120E+00
    0.14049E-03    0.58234E+00
    0.14333E-03    0.59370E+00
    0.14623E-03    0.60527E+00
    0.14918E-03    0.61708E+00
    0.15220E-03    0.62911E+00
    0.15527E-03    0.64138E+00
    0.15841E-03    0.65389E+00
    0.16161E-03    0.66664E+00
    0.16487E-03    0.67964E+00
    0.16820E-03    0.69289E+00
    0.17160E-03    0.70640E+00
    0.17507E-03    0.72017E+00
    0.17860E-03    0.73421E+00
    0.18221E-03    0.74853E+00
    0.18589E-03    0.76312E+00
    0.18965E-03    0.77800E+00
    0.19348E-03    0.79317E+00
    0.19739E-03    0.80863E+00
    0.20138E-03    0.82440E+00
    0.20544E-03    0.84047E+00
    0.20959E-03    0.85685E+00
    0.21383E-03    0.87356E+00
    0.21815E-03    0.89059E+00
    0.22255E-03    0.90795E+00
    0.22705E-03    0.92564E+00
    0.23164E-03    0.94369E+00
    0.23632E-03    0.96208E+00
    0.24109E-03    0.98083E+00
    0.24596E-03    0.99994E+00
    0.25093E-03    0.10194E+01
    0.25600E-03    0.10393E+01
    0.26117E-03    0.10596E+01
    0.26645E-03    0.10802E+01
    0.27183E-03    0.11012E+01
    0.27732E-03    0.11227E+01
    0.28292E-03    0.11446E+01
    0.28864E-03    0.11669E+01
    0.29447E-03    0.11896E+01
    0.30042E-03    0.12128E+01
    0.30649E-03    0.12364E+01
    0.31268E-03    0.12605E+01
    0.31899E-03    0.12850E+01
    0.32544E-03    0.13101E+01
    0.33201E-03    0.13356E+01
    0.33872E-03    0.13616E+01
    0.34556E-03    0.13881E+01
    0.35254E-03    0.14151E+01
    0.35966E-03    0.14427E+01
    0.36693E-03    0.14707E+01
    0.37434E-03    0.14994E+01
    0.38190E-03    0.15286E+01
    0.38962E-03    0.15583E+01
    0.39749E-03    0.15886E+01
    0.40552E-03    0.16195E+01
    0.41371E-03    0.16510E+01
    0.42207E-03    0.16832E+01
    0.43060E-03    0.17159E+01
    0.43929E-03    0.17493E+01
    0.44817E-03    0.17833E+01
    0.45722E-03    0.18180E+01
    0.46646E-03    0.18533E+01
    0.47588E-03    0.18893E+01
    0.48550E-03    0.19261E+01
    0.49530E-03    0.19635E+01
    0.50531E-03    0.20016E+01
