#    L    TT             EE             TE             PP             TP          
     2    0.10812E+04    0.51395E-01    0.34794E+01    0.10960E+07    0.29421E+05
     3    0.10215E+04    0.85890E-01    0.43472E+01    0.16862E+07    0.35266E+05
     4    0.96147E+03    0.99159E-01    0.44884E+01    0.22087E+07    0.38063E+05
     5    0.91422E+03    0.90693E-01    0.41911E+01    0.26692E+07    0.39221E+05
     6    0.87961E+03    0.69369E-01    0.36810E+01    0.30750E+07    0.39455E+05
     7    0.85562E+03    0.45766E-01    0.31021E+01    0.34343E+07    0.39167E+05
     8    0.83969E+03    0.27093E-01    0.25440E+01    0.37536E+07    0.38536E+05
     9    0.83002E+03    0.15749E-01    0.20538E+01    0.40386E+07    0.37655E+05
    10    0.82525E+03    0.10551E-01    0.16591E+01    0.42934E+07    0.36628E+05
    11    0.82401E+03    0.88490E-02    0.13717E+01    0.45226E+07    0.35583E+05
    12    0.82649E+03    0.83358E-02    0.11944E+01    0.47283E+07    0.34579E+05
    13    0.83091E+03    0.77231E-02    0.11084E+01    0.49129E+07    0.33624E+05
    14    0.83633E+03    0.68594E-02    0.10889E+01    0.50793E+07    0.32711E+05
    15    0.84312E+03    0.60405E-02    0.11178E+01    0.52293E+07    0.31811E+05
    16    0.85174E+03    0.55727E-02    0.11788E+01    0.53644E+07    0.30903E+05
    17    0.86206E+03    0.55760E-02    0.12551E+01    0.54863E+07    0.30014E+05
    18    0.87311E+03    0.59013E-02    0.13328E+01    0.55963E+07    0.29173E+05
    19    0.88571E+03    0.63570E-02    0.14038E+01    0.56952E+07    0.28371E+05
    20    0.89821E+03    0.68328E-02    0.14610E+01    0.57837E+07    0.27594E+05
    21    0.91095E+03    0.73165E-02    0.15079E+01    0.58630E+07    0.26834E+05
    22    0.92424E+03    0.79091E-02    0.15494E+01    0.59340E+07    0.26091E+05
    23    0.93788E+03    0.87055E-02    0.15871E+01    0.59975E+07    0.25370E+05
    24    0.95192E+03    0.97537E-02    0.16224E+01    0.60538E+07    0.24680E+05
    25    0.96632E+03    0.11090E-01    0.16584E+01    0.61035E+07    0.24022E+05
