#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105184E-04   0.667114E+06   0.667114E+06   0.889474E+06   0.889473E+06   0.670022E+06   0.667159E+06   0.667114E+06   0.675476E+06  -0.601937E+00   0.665370E+06   0.665370E+06   0.161222E+00
   0.116143E-04   0.667114E+06   0.667114E+06   0.889471E+06   0.889470E+06   0.670021E+06   0.667159E+06   0.667114E+06   0.675476E+06  -0.601937E+00   0.665370E+06   0.665370E+06   0.178019E+00
   0.128244E-04   0.667114E+06   0.667114E+06   0.889467E+06   0.889466E+06   0.670021E+06   0.667159E+06   0.667114E+06   0.675476E+06  -0.601937E+00   0.665370E+06   0.665370E+06   0.196567E+00
   0.141606E-04   0.667114E+06   0.667114E+06   0.889463E+06   0.889462E+06   0.670020E+06   0.667158E+06   0.667114E+06   0.675476E+06  -0.601937E+00   0.665370E+06   0.665370E+06   0.217047E+00
   0.156360E-04   0.667114E+06   0.667114E+06   0.889458E+06   0.889457E+06   0.670020E+06   0.667158E+06   0.667114E+06   0.675475E+06  -0.601937E+00   0.665370E+06   0.665370E+06   0.239661E+00
   0.172651E-04   0.667114E+06   0.667114E+06   0.889452E+06   0.889450E+06   0.670019E+06   0.667158E+06   0.667114E+06   0.675475E+06  -0.601937E+00   0.665370E+06   0.665370E+06   0.264630E+00
   0.190639E-04   0.667114E+06   0.667114E+06   0.889444E+06   0.889442E+06   0.670019E+06   0.667158E+06   0.667114E+06   0.675475E+06  -0.601936E+00   0.665370E+06   0.665370E+06   0.292202E+00
   0.210501E-04   0.667114E+06   0.667114E+06   0.889435E+06   0.889433E+06   0.670018E+06   0.667158E+06   0.667114E+06   0.675475E+06  -0.601936E+00   0.665370E+06   0.665370E+06   0.322646E+00
   0.232433E-04   0.667113E+06   0.667113E+06   0.889423E+06   0.889421E+06   0.670017E+06   0.667158E+06   0.667113E+06   0.675474E+06  -0.601936E+00   0.665369E+06   0.665369E+06   0.356261E+00
   0.256650E-04   0.667113E+06   0.667113E+06   0.889410E+06   0.889406E+06   0.670015E+06   0.667157E+06   0.667113E+06   0.675474E+06  -0.601935E+00   0.665369E+06   0.665369E+06   0.393380E+00
   0.283390E-04   0.667113E+06   0.667113E+06   0.889393E+06   0.889389E+06   0.670014E+06   0.667157E+06   0.667113E+06   0.675473E+06  -0.601935E+00   0.665368E+06   0.665368E+06   0.434365E+00
   0.312916E-04   0.667112E+06   0.667112E+06   0.889372E+06   0.889367E+06   0.670012E+06   0.667156E+06   0.667112E+06   0.675472E+06  -0.601934E+00   0.665368E+06   0.665368E+06   0.479620E+00
   0.345519E-04   0.667112E+06   0.667112E+06   0.889347E+06   0.889341E+06   0.670009E+06   0.667156E+06   0.667112E+06   0.675472E+06  -0.601933E+00   0.665368E+06   0.665368E+06   0.529590E+00
   0.381518E-04   0.667111E+06   0.667111E+06   0.889317E+06   0.889309E+06   0.670006E+06   0.667155E+06   0.667111E+06   0.675471E+06  -0.601932E+00   0.665367E+06   0.665367E+06   0.584766E+00
   0.421268E-04   0.667110E+06   0.667110E+06   0.889279E+06   0.889271E+06   0.670002E+06   0.667154E+06   0.667110E+06   0.675469E+06  -0.601931E+00   0.665366E+06   0.665366E+06   0.645690E+00
   0.465159E-04   0.667109E+06   0.667109E+06   0.889234E+06   0.889223E+06   0.669998E+06   0.667153E+06   0.667109E+06   0.675468E+06  -0.601930E+00   0.665365E+06   0.665365E+06   0.712961E+00
   0.513623E-04   0.667108E+06   0.667108E+06   0.889178E+06   0.889166E+06   0.669992E+06   0.667152E+06   0.667108E+06   0.675466E+06  -0.601928E+00   0.665364E+06   0.665364E+06   0.787240E+00
   0.567137E-04   0.667106E+06   0.667106E+06   0.889111E+06   0.889096E+06   0.669986E+06   0.667150E+06   0.667106E+06   0.675464E+06  -0.601926E+00   0.665362E+06   0.665362E+06   0.869257E+00
   0.626227E-04   0.667104E+06   0.667104E+06   0.889029E+06   0.889010E+06   0.669978E+06   0.667148E+06   0.667104E+06   0.675461E+06  -0.601923E+00   0.665360E+06   0.665360E+06   0.959817E+00
   0.691473E-04   0.667102E+06   0.667102E+06   0.888928E+06   0.888905E+06   0.669968E+06   0.667146E+06   0.667102E+06   0.675458E+06  -0.601920E+00   0.665358E+06   0.665358E+06   0.105981E+01
   0.763516E-04   0.667099E+06   0.667099E+06   0.888806E+06   0.888778E+06   0.669956E+06   0.667143E+06   0.667099E+06   0.675453E+06  -0.601916E+00   0.665355E+06   0.665355E+06   0.117022E+01
   0.843066E-04   0.667096E+06   0.667095E+06   0.888657E+06   0.888623E+06   0.669941E+06   0.667139E+06   0.667096E+06   0.675448E+06  -0.601911E+00   0.665352E+06   0.665351E+06   0.129213E+01
   0.930904E-04   0.667092E+06   0.667091E+06   0.888475E+06   0.888433E+06   0.669923E+06   0.667135E+06   0.667092E+06   0.675442E+06  -0.601906E+00   0.665347E+06   0.665347E+06   0.142673E+01
   0.102789E-03   0.667087E+06   0.667086E+06   0.888254E+06   0.888203E+06   0.669901E+06   0.667129E+06   0.667086E+06   0.675435E+06  -0.601899E+00   0.665342E+06   0.665342E+06   0.157535E+01
   0.113499E-03   0.667080E+06   0.667079E+06   0.887984E+06   0.887922E+06   0.669874E+06   0.667123E+06   0.667080E+06   0.675426E+06  -0.601890E+00   0.665336E+06   0.665336E+06   0.173945E+01
   0.125324E-03   0.667073E+06   0.667072E+06   0.887655E+06   0.887579E+06   0.669842E+06   0.667115E+06   0.667073E+06   0.675415E+06  -0.601880E+00   0.665328E+06   0.665328E+06   0.192063E+01
   0.138382E-03   0.667064E+06   0.667062E+06   0.887254E+06   0.887161E+06   0.669802E+06   0.667105E+06   0.667064E+06   0.675401E+06  -0.601867E+00   0.665319E+06   0.665319E+06   0.212067E+01
   0.152799E-03   0.667053E+06   0.667050E+06   0.886765E+06   0.886652E+06   0.669753E+06   0.667093E+06   0.667052E+06   0.675385E+06  -0.601852E+00   0.665308E+06   0.665307E+06   0.234153E+01
   0.168719E-03   0.667039E+06   0.667036E+06   0.886169E+06   0.886032E+06   0.669694E+06   0.667079E+06   0.667038E+06   0.675365E+06  -0.601833E+00   0.665294E+06   0.665294E+06   0.258536E+01
