#    L    TT             EE             BB             TE          
     2    0.10809E+04    0.51282E-01    0.17984E-05    0.34672E+01
     3    0.10214E+04    0.85706E-01    0.35974E-05    0.43300E+01
     4    0.96156E+03    0.98974E-01    0.59969E-05    0.44689E+01
     5    0.91435E+03    0.90562E-01    0.89977E-05    0.41717E+01
     6    0.87971E+03    0.69306E-01    0.12601E-04    0.36633E+01
     7    0.85567E+03    0.45758E-01    0.16807E-04    0.30876E+01
     8    0.83966E+03    0.27123E-01    0.21617E-04    0.25334E+01
     9    0.82992E+03    0.15809E-01    0.27034E-04    0.20473E+01
    10    0.82508E+03    0.10639E-01    0.33057E-04    0.16559E+01
    11    0.82378E+03    0.89665E-02    0.39690E-04    0.13707E+01
    12    0.82622E+03    0.84744E-02    0.46933E-04    0.11948E+01
    13    0.83061E+03    0.78675E-02    0.54788E-04    0.11092E+01
    14    0.83602E+03    0.69901E-02    0.63258E-04    0.10894E+01
    15    0.84281E+03    0.61459E-02    0.72344E-04    0.11172E+01
    16    0.85141E+03    0.56512E-02    0.82049E-04    0.11767E+01
    17    0.86172E+03    0.56346E-02    0.92374E-04    0.12515E+01
    18    0.87275E+03    0.59527E-02    0.10332E-03    0.13279E+01
    19    0.88534E+03    0.64111E-02    0.11489E-03    0.13980E+01
    20    0.89782E+03    0.68942E-02    0.12709E-03    0.14543E+01
    21    0.91055E+03    0.73850E-02    0.13992E-03    0.15004E+01
    22    0.92381E+03    0.79801E-02    0.15338E-03    0.15410E+01
    23    0.93741E+03    0.87739E-02    0.16747E-03    0.15780E+01
    24    0.95141E+03    0.98149E-02    0.18219E-03    0.16130E+01
    25    0.96575E+03    0.11142E-01    0.19755E-03    0.16488E+01
    26    0.98026E+03    0.12740E-01    0.21355E-03    0.16890E+01
    27    0.99515E+03    0.14556E-01    0.23019E-03    0.17320E+01
    28    0.10103E+04    0.16562E-01    0.24747E-03    0.17766E+01
    29    0.10257E+04    0.18762E-01    0.26539E-03    0.18215E+01
    30    0.10413E+04    0.21171E-01    0.28396E-03    0.18639E+01
    31    0.10570E+04    0.23777E-01    0.30317E-03    0.19011E+01
    32    0.10731E+04    0.26558E-01    0.32302E-03    0.19300E+01
    33    0.10895E+04    0.29513E-01    0.34353E-03    0.19474E+01
    34    0.11061E+04    0.32661E-01    0.36467E-03    0.19517E+01
    35    0.11228E+04    0.36013E-01    0.38647E-03    0.19460E+01
    36    0.11396E+04    0.39581E-01    0.40891E-03    0.19321E+01
    37    0.11564E+04    0.43370E-01    0.43200E-03    0.19059E+01
    38    0.11737E+04    0.47388E-01    0.45574E-03    0.18653E+01
    39    0.11913E+04    0.51650E-01    0.48012E-03    0.18131E+01
    40    0.12091E+04    0.56177E-01    0.50515E-03    0.17527E+01
    41    0.12271E+04    0.60992E-01    0.53083E-03    0.16868E+01
    42    0.12450E+04    0.66096E-01    0.55716E-03    0.16137E+01
    43    0.12631E+04    0.71488E-01    0.58412E-03    0.15305E+01
    44    0.12811E+04    0.77150E-01    0.61174E-03    0.14356E+01
    45    0.12995E+04    0.83077E-01    0.63999E-03    0.13272E+01
    46    0.13182E+04    0.89264E-01    0.66889E-03    0.12022E+01
    47    0.13369E+04    0.95712E-01    0.69843E-03    0.10622E+01
    48    0.13558E+04    0.10243E+00    0.72861E-03    0.91251E+00
    49    0.13748E+04    0.10940E+00    0.75943E-03    0.75787E+00
    50    0.13941E+04    0.11659E+00    0.79089E-03    0.59627E+00
    51    0.14137E+04    0.12399E+00    0.82298E-03    0.42389E+00
    52    0.14336E+04    0.13168E+00    0.85571E-03    0.23555E+00
    53    0.14535E+04    0.13981E+00    0.88908E-03    0.27544E-01
    54    0.14734E+04    0.14836E+00    0.92307E-03   -0.19587E+00
    55    0.14933E+04    0.15731E+00    0.95770E-03   -0.43032E+00
    56    0.15137E+04    0.16652E+00    0.99296E-03   -0.67749E+00
    57    0.15343E+04    0.17589E+00    0.10288E-02   -0.93709E+00
    58    0.15552E+04    0.18542E+00    0.10654E-02   -0.12095E+01
    59    0.15762E+04    0.19515E+00    0.11025E-02   -0.14953E+01
    60    0.15974E+04    0.20514E+00    0.11403E-02   -0.17933E+01
    61    0.16191E+04    0.21548E+00    0.11787E-02   -0.21027E+01
    62    0.16406E+04    0.22616E+00    0.12177E-02   -0.24245E+01
    63    0.16622E+04    0.23713E+00    0.12574E-02   -0.27602E+01
    64    0.16843E+04    0.24840E+00    0.12977E-02   -0.31112E+01
    65    0.17063E+04    0.25996E+00    0.13386E-02   -0.34787E+01
    66    0.17287E+04    0.27172E+00    0.13801E-02   -0.38610E+01
    67    0.17512E+04    0.28368E+00    0.14223E-02   -0.42552E+01
    68    0.17742E+04    0.29590E+00    0.14651E-02   -0.46593E+01
    69    0.17973E+04    0.30833E+00    0.15085E-02   -0.50712E+01
    70    0.18207E+04    0.32102E+00    0.15526E-02   -0.54925E+01
    71    0.18443E+04    0.33395E+00    0.15972E-02   -0.59251E+01
    72    0.18681E+04    0.34710E+00    0.16426E-02   -0.63706E+01
    73    0.18920E+04    0.36044E+00    0.16885E-02   -0.68294E+01
    74    0.19161E+04    0.37394E+00    0.17351E-02   -0.73009E+01
    75    0.19405E+04    0.38763E+00    0.17823E-02   -0.77835E+01
    76    0.19652E+04    0.40150E+00    0.18302E-02   -0.82767E+01
    77    0.19902E+04    0.41554E+00    0.18787E-02   -0.87804E+01
    78    0.20156E+04    0.42978E+00    0.19279E-02   -0.92961E+01
    79    0.20411E+04    0.44416E+00    0.19777E-02   -0.98202E+01
    80    0.20669E+04    0.45869E+00    0.20282E-02   -0.10354E+02
    81    0.20930E+04    0.47332E+00    0.20793E-02   -0.10898E+02
    82    0.21192E+04    0.48806E+00    0.21310E-02   -0.11452E+02
    83    0.21457E+04    0.50289E+00    0.21835E-02   -0.12015E+02
    84    0.21724E+04    0.51782E+00    0.22366E-02   -0.12585E+02
    85    0.21992E+04    0.53280E+00    0.22903E-02   -0.13163E+02
    86    0.22262E+04    0.54785E+00    0.23447E-02   -0.13748E+02
    87    0.22537E+04    0.56295E+00    0.23998E-02   -0.14339E+02
    88    0.22811E+04    0.57811E+00    0.24556E-02   -0.14937E+02
    89    0.23089E+04    0.59331E+00    0.25121E-02   -0.15542E+02
    90    0.23369E+04    0.60852E+00    0.25692E-02   -0.16152E+02
    91    0.23650E+04    0.62373E+00    0.26270E-02   -0.16768E+02
    92    0.23934E+04    0.63893E+00    0.26856E-02   -0.17388E+02
    93    0.24221E+04    0.65410E+00    0.27448E-02   -0.18013E+02
    94    0.24509E+04    0.66922E+00    0.28047E-02   -0.18642E+02
    95    0.24800E+04    0.68429E+00    0.28653E-02   -0.19274E+02
    96    0.25091E+04    0.69928E+00    0.29266E-02   -0.19910E+02
    97    0.25386E+04    0.71418E+00    0.29886E-02   -0.20549E+02
