#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.10809E+04    0.34672E+01    0.12923E-02    0.34672E+01    0.51280E-01   -0.65723E-05    0.12923E-02   -0.65723E-05    0.88746E-08
     3    0.10214E+04    0.43300E+01    0.91921E-03    0.43300E+01    0.85702E-01   -0.57408E-05    0.91921E-03   -0.57408E-05    0.54022E-08
     4    0.96155E+03    0.44689E+01    0.69859E-03    0.44689E+01    0.98968E-01   -0.45444E-05    0.69859E-03   -0.45444E-05    0.37361E-08
     5    0.91433E+03    0.41717E+01    0.55367E-03    0.41717E+01    0.90553E-01   -0.33395E-05    0.55367E-03   -0.33395E-05    0.27772E-08
     6    0.87968E+03    0.36633E+01    0.45193E-03    0.36633E+01    0.69293E-01   -0.22543E-05    0.45193E-03   -0.22543E-05    0.21626E-08
     7    0.85563E+03    0.30876E+01    0.37726E-03    0.30876E+01    0.45741E-01   -0.13481E-05    0.37726E-03   -0.13481E-05    0.17402E-08
     8    0.83962E+03    0.25334E+01    0.32017E-03    0.25334E+01    0.27101E-01   -0.64776E-06    0.32017E-03   -0.64776E-06    0.14350E-08
     9    0.82987E+03    0.20473E+01    0.27506E-03    0.20473E+01    0.15782E-01   -0.15602E-06    0.27506E-03   -0.15602E-06    0.12061E-08
    10    0.82502E+03    0.16559E+01    0.23874E-03    0.16559E+01    0.10606E-01    0.14907E-06    0.23874E-03    0.14907E-06    0.10292E-08
    11    0.82371E+03    0.13708E+01    0.20938E-03    0.13708E+01    0.89269E-02    0.30551E-06    0.20938E-03    0.30551E-06    0.88951E-09
    12    0.82613E+03    0.11948E+01    0.18543E-03    0.11948E+01    0.84275E-02    0.35077E-06    0.18543E-03    0.35077E-06    0.77663E-09
    13    0.83051E+03    0.11092E+01    0.16566E-03    0.11092E+01    0.78127E-02    0.31490E-06    0.16566E-03    0.31490E-06    0.68428E-09
    14    0.83591E+03    0.10894E+01    0.14903E-03    0.10894E+01    0.69268E-02    0.22702E-06    0.14903E-03    0.22702E-06    0.60744E-09
    15    0.84268E+03    0.11172E+01    0.13481E-03    0.11172E+01    0.60736E-02    0.11967E-06    0.13481E-03    0.11967E-06    0.54287E-09
    16    0.85126E+03    0.11768E+01    0.12242E-03    0.11768E+01    0.55692E-02    0.22006E-07    0.12242E-03    0.22006E-07    0.48797E-09
    17    0.86155E+03    0.12516E+01    0.11162E-03    0.12516E+01    0.55422E-02   -0.53823E-07    0.11162E-03   -0.53823E-07    0.44095E-09
    18    0.87257E+03    0.13280E+01    0.10222E-03    0.13280E+01    0.58494E-02   -0.10236E-06    0.10222E-03   -0.10236E-06    0.40030E-09
    19    0.88514E+03    0.13981E+01    0.93991E-04    0.13981E+01    0.62963E-02   -0.12795E-06    0.93991E-04   -0.12795E-06    0.36493E-09
    20    0.89760E+03    0.14544E+01    0.86688E-04    0.14544E+01    0.67672E-02   -0.13616E-06    0.86688E-04   -0.13616E-06    0.33391E-09
