#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10812E+04    0.51395E-01    0.00000E+00    0.34794E+01    0.52833E-07    0.31563E-02   -0.16129E-04
     3    0.10215E+04    0.85890E-01    0.00000E+00    0.43472E+01    0.64227E-07    0.31706E-02   -0.19929E-04
     4    0.96147E+03    0.99159E-01    0.00000E+00    0.44884E+01    0.73940E-07    0.31063E-02   -0.20371E-04
     5    0.91422E+03    0.90693E-01    0.00000E+00    0.41911E+01    0.82350E-07    0.30107E-02   -0.18339E-04
     6    0.87961E+03    0.69369E-01    0.00000E+00    0.36810E+01    0.89673E-07    0.29033E-02   -0.14651E-04
     7    0.85562E+03    0.45766E-01    0.00000E+00    0.31021E+01    0.96105E-07    0.27943E-02   -0.10124E-04
     8    0.83969E+03    0.27093E-01    0.00000E+00    0.25440E+01    0.10178E-06    0.26851E-02   -0.55332E-05
     9    0.83002E+03    0.15749E-01    0.00000E+00    0.20538E+01    0.10683E-06    0.25753E-02   -0.15230E-05
    10    0.82525E+03    0.10551E-01    0.00000E+00    0.16591E+01    0.11130E-06    0.24676E-02    0.15156E-05
    11    0.82401E+03    0.88490E-02    0.00000E+00    0.13717E+01    0.11532E-06    0.23675E-02    0.34586E-05
    12    0.82649E+03    0.83358E-02    0.00000E+00    0.11944E+01    0.11889E-06    0.22768E-02    0.43132E-05
    13    0.83091E+03    0.77231E-02    0.00000E+00    0.11084E+01    0.12208E-06    0.21943E-02    0.41701E-05
    14    0.83633E+03    0.68594E-02    0.00000E+00    0.10889E+01    0.12493E-06    0.21184E-02    0.31889E-05
    15    0.84312E+03    0.60405E-02    0.00000E+00    0.11178E+01    0.12748E-06    0.20464E-02    0.17606E-05
    16    0.85174E+03    0.55727E-02    0.00000E+00    0.11788E+01    0.12975E-06    0.19764E-02    0.28526E-06
    17    0.86206E+03    0.55760E-02    0.00000E+00    0.12551E+01    0.13178E-06    0.19095E-02   -0.99933E-06
    18    0.87311E+03    0.59013E-02    0.00000E+00    0.13328E+01    0.13360E-06    0.18474E-02   -0.19377E-05
    19    0.88571E+03    0.63570E-02    0.00000E+00    0.14038E+01    0.13520E-06    0.17892E-02   -0.25360E-05
    20    0.89821E+03    0.68328E-02    0.00000E+00    0.14610E+01    0.13662E-06    0.17337E-02   -0.28215E-05
    21    0.91095E+03    0.73165E-02    0.00000E+00    0.15079E+01    0.13786E-06    0.16802E-02   -0.27505E-05
    22    0.92424E+03    0.79091E-02    0.00000E+00    0.15494E+01    0.13896E-06    0.16286E-02   -0.23083E-05
    23    0.93788E+03    0.87055E-02    0.00000E+00    0.15871E+01    0.13991E-06    0.15791E-02   -0.16649E-05
    24    0.95192E+03    0.97537E-02    0.00000E+00    0.16224E+01    0.14074E-06    0.15322E-02   -0.10217E-05
    25    0.96632E+03    0.11090E-01    0.00000E+00    0.16584E+01    0.14144E-06    0.14878E-02   -0.52894E-06
    26    0.98089E+03    0.12696E-01    0.00000E+00    0.16989E+01    0.14204E-06    0.14456E-02   -0.28159E-06
    27    0.99586E+03    0.14521E-01    0.00000E+00    0.17422E+01    0.14253E-06    0.14055E-02   -0.20703E-06
    28    0.10111E+04    0.16537E-01    0.00000E+00    0.17868E+01    0.14294E-06    0.13670E-02   -0.21299E-06
    29    0.10266E+04    0.18748E-01    0.00000E+00    0.18314E+01    0.14325E-06    0.13305E-02   -0.29272E-06
    30    0.10423E+04    0.21169E-01    0.00000E+00    0.18734E+01    0.14348E-06    0.12963E-02   -0.45920E-06
    31    0.10582E+04    0.23788E-01    0.00000E+00    0.19098E+01    0.14362E-06    0.12638E-02   -0.71932E-06
    32    0.10744E+04    0.26581E-01    0.00000E+00    0.19376E+01    0.14370E-06    0.12326E-02   -0.10560E-05
    33    0.10909E+04    0.29552E-01    0.00000E+00    0.19536E+01    0.14372E-06    0.12024E-02   -0.13626E-05
    34    0.11076E+04    0.32719E-01    0.00000E+00    0.19566E+01    0.14368E-06    0.11729E-02   -0.15289E-05
    35    0.11245E+04    0.36092E-01    0.00000E+00    0.19495E+01    0.14359E-06    0.11442E-02   -0.15185E-05
    36    0.11415E+04    0.39682E-01    0.00000E+00    0.19341E+01    0.14344E-06    0.11164E-02   -0.13393E-05
    37    0.11585E+04    0.43494E-01    0.00000E+00    0.19063E+01    0.14325E-06    0.10900E-02   -0.11035E-05
    38    0.11760E+04    0.47540E-01    0.00000E+00    0.18638E+01    0.14301E-06    0.10653E-02   -0.91935E-06
    39    0.11938E+04    0.51833E-01    0.00000E+00    0.18093E+01    0.14274E-06    0.10420E-02   -0.77854E-06
    40    0.12118E+04    0.56394E-01    0.00000E+00    0.17469E+01    0.14242E-06    0.10195E-02   -0.64368E-06
    41    0.12300E+04    0.61242E-01    0.00000E+00    0.16789E+01    0.14207E-06    0.99759E-03   -0.48820E-06
    42    0.12482E+04    0.66381E-01    0.00000E+00    0.16036E+01    0.14168E-06    0.97614E-03   -0.32813E-06
    43    0.12665E+04    0.71810E-01    0.00000E+00    0.15183E+01    0.14126E-06    0.95528E-03   -0.19004E-06
    44    0.12849E+04    0.77511E-01    0.00000E+00    0.14210E+01    0.14082E-06    0.93512E-03   -0.10047E-06
    45    0.13035E+04    0.83478E-01    0.00000E+00    0.13099E+01    0.14034E-06    0.91577E-03   -0.85834E-07
    46    0.13225E+04    0.89709E-01    0.00000E+00    0.11818E+01    0.13984E-06    0.89729E-03   -0.16238E-06
    47    0.13416E+04    0.96204E-01    0.00000E+00    0.10384E+01    0.13932E-06    0.87956E-03   -0.30577E-06
    48    0.13607E+04    0.10297E+00    0.00000E+00    0.88500E+00    0.13878E-06    0.86241E-03   -0.48162E-06
    49    0.13800E+04    0.10999E+00    0.00000E+00    0.72647E+00    0.13822E-06    0.84567E-03   -0.65564E-06
    50    0.13998E+04    0.11723E+00    0.00000E+00    0.56083E+00    0.13764E-06    0.82919E-03   -0.79364E-06
    51    0.14196E+04    0.12469E+00    0.00000E+00    0.38434E+00    0.13705E-06    0.81284E-03   -0.86999E-06
    52    0.14399E+04    0.13243E+00    0.00000E+00    0.19178E+00    0.13644E-06    0.79674E-03   -0.89305E-06
    53    0.14602E+04    0.14061E+00    0.00000E+00   -0.20578E-01    0.13581E-06    0.78107E-03   -0.87965E-06
    54    0.14804E+04    0.14921E+00    0.00000E+00   -0.24852E+00    0.13518E-06    0.76600E-03   -0.84657E-06
    55    0.15008E+04    0.15822E+00    0.00000E+00   -0.48769E+00    0.13453E-06    0.75168E-03   -0.81057E-06
    56    0.15215E+04    0.16750E+00    0.00000E+00   -0.73981E+00    0.13387E-06    0.73825E-03   -0.78453E-06
    57    0.15426E+04    0.17692E+00    0.00000E+00   -0.10046E+01    0.13320E-06    0.72559E-03   -0.76600E-06
    58    0.15639E+04    0.18652E+00    0.00000E+00   -0.12824E+01    0.13253E-06    0.71355E-03   -0.74872E-06
    59    0.15854E+04    0.19631E+00    0.00000E+00   -0.15737E+01    0.13184E-06    0.70198E-03   -0.72643E-06
    60    0.16070E+04    0.20637E+00    0.00000E+00   -0.18774E+01    0.13114E-06    0.69071E-03   -0.69290E-06
    61    0.16291E+04    0.21678E+00    0.00000E+00   -0.21926E+01    0.13044E-06    0.67962E-03   -0.64435E-06
    62    0.16511E+04    0.22752E+00    0.00000E+00   -0.25205E+01    0.12973E-06    0.66866E-03   -0.58698E-06
    63    0.16732E+04    0.23856E+00    0.00000E+00   -0.28623E+01    0.12901E-06    0.65782E-03   -0.52942E-06
    64    0.16957E+04    0.24991E+00    0.00000E+00   -0.32197E+01    0.12829E-06    0.64707E-03   -0.48031E-06
    65    0.17182E+04    0.26153E+00    0.00000E+00   -0.35937E+01    0.12757E-06    0.63641E-03   -0.44826E-06
    66    0.17411E+04    0.27335E+00    0.00000E+00   -0.39826E+01    0.12684E-06    0.62584E-03   -0.44010E-06
    67    0.17641E+04    0.28539E+00    0.00000E+00   -0.43836E+01    0.12611E-06    0.61541E-03   -0.45547E-06
    68    0.17875E+04    0.29767E+00    0.00000E+00   -0.47946E+01    0.12538E-06    0.60523E-03   -0.49223E-06
    69    0.18112E+04    0.31017E+00    0.00000E+00   -0.52136E+01    0.12465E-06    0.59539E-03   -0.54823E-06
    70    0.18352E+04    0.32292E+00    0.00000E+00   -0.56419E+01    0.12392E-06    0.58596E-03   -0.62135E-06
    71    0.18593E+04    0.33592E+00    0.00000E+00   -0.60817E+01    0.12318E-06    0.57703E-03   -0.70754E-06
    72    0.18835E+04    0.34913E+00    0.00000E+00   -0.65344E+01    0.12245E-06    0.56854E-03   -0.79508E-06
    73    0.19080E+04    0.36253E+00    0.00000E+00   -0.70006E+01    0.12171E-06    0.56042E-03   -0.87033E-06
    74    0.19326E+04    0.37610E+00    0.00000E+00   -0.74795E+01    0.12098E-06    0.55262E-03   -0.91968E-06
    75    0.19576E+04    0.38985E+00    0.00000E+00   -0.79699E+01    0.12024E-06    0.54505E-03   -0.92954E-06
    76    0.19828E+04    0.40378E+00    0.00000E+00   -0.84710E+01    0.11951E-06    0.53766E-03   -0.89151E-06
    77    0.20084E+04    0.41788E+00    0.00000E+00   -0.89828E+01    0.11877E-06    0.53041E-03   -0.81795E-06
    78    0.20344E+04    0.43217E+00    0.00000E+00   -0.95068E+01    0.11804E-06    0.52327E-03   -0.72642E-06
    79    0.20605E+04    0.44661E+00    0.00000E+00   -0.10039E+02    0.11730E-06    0.51621E-03   -0.63442E-06
    80    0.20869E+04    0.46118E+00    0.00000E+00   -0.10582E+02    0.11657E-06    0.50919E-03   -0.55948E-06
    81    0.21135E+04    0.47585E+00    0.00000E+00   -0.11134E+02    0.11584E-06    0.50220E-03   -0.51561E-06
    82    0.21403E+04    0.49063E+00    0.00000E+00   -0.11697E+02    0.11511E-06    0.49526E-03   -0.50294E-06
    83    0.21674E+04    0.50550E+00    0.00000E+00   -0.12268E+02    0.11438E-06    0.48841E-03   -0.51813E-06
    84    0.21947E+04    0.52046E+00    0.00000E+00   -0.12846E+02    0.11366E-06    0.48168E-03   -0.55786E-06
    85    0.22221E+04    0.53547E+00    0.00000E+00   -0.13432E+02    0.11293E-06    0.47512E-03   -0.61879E-06
    86    0.22498E+04    0.55056E+00    0.00000E+00   -0.14024E+02    0.11221E-06    0.46874E-03   -0.69696E-06
