#           k/h    P           
    0.10000E-03    0.68477E+00
    0.10202E-03    0.69813E+00
    0.10408E-03    0.71175E+00
    0.10618E-03    0.72563E+00
    0.10833E-03    0.73978E+00
    0.11052E-03    0.75421E+00
    0.11275E-03    0.76892E+00
    0.11503E-03    0.78391E+00
    0.11735E-03    0.79920E+00
    0.11972E-03    0.81479E+00
    0.12214E-03    0.83068E+00
    0.12461E-03    0.84688E+00
    0.12712E-03    0.86340E+00
    0.12969E-03    0.88024E+00
    0.13231E-03    0.89740E+00
    0.13499E-03    0.91490E+00
    0.13771E-03    0.93274E+00
    0.14049E-03    0.95093E+00
    0.14333E-03    0.96948E+00
    0.14623E-03    0.98838E+00
    0.14918E-03    0.10077E+01
    0.15220E-03    0.10273E+01
    0.15527E-03    0.10473E+01
    0.15841E-03    0.10678E+01
    0.16161E-03    0.10886E+01
    0.16487E-03    0.11098E+01
    0.16820E-03    0.11314E+01
    0.17160E-03    0.11535E+01
    0.17507E-03    0.11760E+01
    0.17860E-03    0.11989E+01
    0.18221E-03    0.12223E+01
    0.18589E-03    0.12461E+01
    0.18965E-03    0.12704E+01
    0.19348E-03    0.12952E+01
    0.19739E-03    0.13204E+01
    0.20138E-03    0.13462E+01
    0.20544E-03    0.13724E+01
    0.20959E-03    0.13992E+01
    0.21383E-03    0.14264E+01
    0.21815E-03    0.14543E+01
    0.22255E-03    0.14826E+01
    0.22705E-03    0.15115E+01
    0.23164E-03    0.15410E+01
    0.23632E-03    0.15710E+01
    0.24109E-03    0.16016E+01
    0.24596E-03    0.16328E+01
    0.25093E-03    0.16646E+01
    0.25600E-03    0.16971E+01
    0.26117E-03    0.17301E+01
    0.26645E-03    0.17638E+01
    0.27183E-03    0.17982E+01
    0.27732E-03    0.18332E+01
    0.28292E-03    0.18689E+01
    0.28864E-03    0.19054E+01
    0.29447E-03    0.19425E+01
    0.30042E-03    0.19803E+01
    0.30649E-03    0.20189E+01
    0.31268E-03    0.20582E+01
    0.31899E-03    0.20983E+01
    0.32544E-03    0.21391E+01
    0.33201E-03    0.21808E+01
    0.33872E-03    0.22232E+01
    0.34556E-03    0.22665E+01
    0.35254E-03    0.23106E+01
    0.35966E-03    0.23556E+01
    0.36693E-03    0.24014E+01
    0.37434E-03    0.24482E+01
    0.38190E-03    0.24958E+01
    0.38962E-03    0.25444E+01
    0.39749E-03    0.25939E+01
    0.40552E-03    0.26443E+01
    0.41371E-03    0.26958E+01
    0.42207E-03    0.27482E+01
    0.43060E-03    0.28016E+01
    0.43929E-03    0.28561E+01
    0.44817E-03    0.29116E+01
    0.45722E-03    0.29682E+01
    0.46646E-03    0.30259E+01
    0.47588E-03    0.30847E+01
    0.48550E-03    0.31446E+01
    0.49530E-03    0.32057E+01
    0.50531E-03    0.32680E+01
    0.51552E-03    0.33314E+01
    0.52593E-03    0.33961E+01
    0.53656E-03    0.34620E+01
    0.54739E-03    0.35292E+01
    0.55845E-03    0.35977E+01
    0.56973E-03    0.36675E+01
    0.58124E-03    0.37386E+01
    0.59299E-03    0.38111E+01
    0.60496E-03    0.38850E+01
    0.61719E-03    0.39602E+01
    0.62965E-03    0.40370E+01
    0.64237E-03    0.41152E+01
    0.65535E-03    0.41948E+01
    0.66859E-03    0.42761E+01
    0.68210E-03    0.43588E+01
    0.69588E-03    0.44431E+01
    0.70993E-03    0.45290E+01
    0.72427E-03    0.46166E+01
    0.73891E-03    0.47058E+01
    0.75383E-03    0.47967E+01
    0.76906E-03    0.48893E+01
    0.78460E-03    0.49837E+01
    0.80045E-03    0.50799E+01
    0.81662E-03    0.51778E+01
    0.83311E-03    0.52776E+01
    0.84994E-03    0.53793E+01
    0.86711E-03    0.54829E+01
    0.88463E-03    0.55884E+01
    0.90250E-03    0.56959E+01
    0.92073E-03    0.58054E+01
    0.93933E-03    0.59170E+01
    0.95831E-03    0.60306E+01
    0.97767E-03    0.61463E+01
    0.99742E-03    0.62642E+01
    0.10176E-02    0.63842E+01
    0.10381E-02    0.65065E+01
    0.10591E-02    0.66310E+01
    0.10805E-02    0.67578E+01
    0.11023E-02    0.68869E+01
    0.11246E-02    0.70184E+01
    0.11473E-02    0.71523E+01
    0.11705E-02    0.72886E+01
    0.11941E-02    0.74274E+01
    0.12182E-02    0.75686E+01
    0.12429E-02    0.77125E+01
    0.12680E-02    0.78589E+01
    0.12936E-02    0.80079E+01
    0.13197E-02    0.81596E+01
    0.13464E-02    0.83139E+01
    0.13736E-02    0.84710E+01
    0.14013E-02    0.86309E+01
    0.14296E-02    0.87936E+01
    0.14585E-02    0.89591E+01
    0.14880E-02    0.91275E+01
    0.15180E-02    0.92988E+01
    0.15487E-02    0.94731E+01
    0.15800E-02    0.96503E+01
    0.16119E-02    0.98306E+01
    0.16445E-02    0.10014E+02
    0.16777E-02    0.10200E+02
    0.17116E-02    0.10390E+02
    0.17462E-02    0.10583E+02
    0.17814E-02    0.10778E+02
    0.18174E-02    0.10978E+02
    0.18541E-02    0.11180E+02
    0.18916E-02    0.11386E+02
    0.19298E-02    0.11595E+02
    0.19688E-02    0.11807E+02
    0.20086E-02    0.12023E+02
    0.20491E-02    0.12242E+02
    0.20905E-02    0.12464E+02
    0.21328E-02    0.12690E+02
    0.21758E-02    0.12919E+02
    0.22198E-02    0.13152E+02
    0.22646E-02    0.13389E+02
    0.23104E-02    0.13629E+02
    0.23571E-02    0.13872E+02
    0.24047E-02    0.14119E+02
    0.24533E-02    0.14369E+02
    0.25028E-02    0.14624E+02
    0.25534E-02    0.14881E+02
    0.26050E-02    0.15142E+02
    0.26576E-02    0.15407E+02
    0.27113E-02    0.15675E+02
    0.27660E-02    0.15947E+02
    0.28219E-02    0.16223E+02
    0.28789E-02    0.16502E+02
    0.29371E-02    0.16784E+02
    0.29964E-02    0.17070E+02
    0.30569E-02    0.17360E+02
    0.31187E-02    0.17653E+02
    0.31817E-02    0.17949E+02
    0.32460E-02    0.18249E+02
    0.33115E-02    0.18553E+02
    0.33784E-02    0.18859E+02
    0.34467E-02    0.19169E+02
    0.35163E-02    0.19483E+02
    0.35874E-02    0.19799E+02
    0.36598E-02    0.20119E+02
    0.37338E-02    0.20442E+02
    0.38092E-02    0.20768E+02
    0.38861E-02    0.21096E+02
    0.39646E-02    0.21428E+02
    0.40447E-02    0.21763E+02
    0.41264E-02    0.22101E+02
    0.42098E-02    0.22441E+02
    0.42948E-02    0.22784E+02
    0.43816E-02    0.23130E+02
    0.44701E-02    0.23478E+02
    0.45604E-02    0.23828E+02
    0.46525E-02    0.24181E+02
    0.47465E-02    0.24535E+02
    0.48424E-02    0.24892E+02
    0.49402E-02    0.25251E+02
    0.50400E-02    0.25612E+02
    0.51419E-02    0.25974E+02
    0.52457E-02    0.26338E+02
    0.53517E-02    0.26703E+02
    0.54598E-02    0.27070E+02
    0.55701E-02    0.27438E+02
    0.56826E-02    0.27806E+02
    0.57974E-02    0.28176E+02
    0.59145E-02    0.28546E+02
    0.60340E-02    0.28916E+02
    0.61559E-02    0.29286E+02
    0.62803E-02    0.29657E+02
    0.64072E-02    0.30027E+02
    0.65366E-02    0.30397E+02
    0.66686E-02    0.30766E+02
    0.68033E-02    0.31135E+02
    0.69408E-02    0.31502E+02
    0.70810E-02    0.31868E+02
    0.72240E-02    0.32232E+02
    0.73700E-02    0.32594E+02
    0.75189E-02    0.32953E+02
    0.76708E-02    0.33311E+02
    0.78257E-02    0.33665E+02
    0.79838E-02    0.34016E+02
    0.81451E-02    0.34364E+02
    0.83096E-02    0.34708E+02
    0.84775E-02    0.35048E+02
    0.86488E-02    0.35384E+02
    0.88235E-02    0.35715E+02
    0.90017E-02    0.36041E+02
    0.91836E-02    0.36361E+02
    0.93691E-02    0.36675E+02
    0.95583E-02    0.36984E+02
    0.97514E-02    0.37285E+02
    0.99484E-02    0.37580E+02
    0.10149E-01    0.37868E+02
    0.10354E-01    0.38148E+02
    0.10564E-01    0.38420E+02
    0.10777E-01    0.38683E+02
    0.10995E-01    0.38937E+02
    0.11217E-01    0.39183E+02
    0.11443E-01    0.39418E+02
    0.11675E-01    0.39643E+02
    0.11910E-01    0.39858E+02
    0.12151E-01    0.40062E+02
    0.12397E-01    0.40254E+02
    0.12647E-01    0.40434E+02
    0.12902E-01    0.40603E+02
    0.13163E-01    0.40758E+02
    0.13429E-01    0.40901E+02
    0.13700E-01    0.41030E+02
    0.13977E-01    0.41145E+02
    0.14259E-01    0.41245E+02
    0.14547E-01    0.41331E+02
    0.14841E-01    0.41401E+02
    0.15141E-01    0.41456E+02
    0.15447E-01    0.41495E+02
    0.15759E-01    0.41518E+02
    0.16077E-01    0.41524E+02
    0.16402E-01    0.41514E+02
    0.16734E-01    0.41485E+02
    0.17072E-01    0.41439E+02
    0.17416E-01    0.41375E+02
    0.17768E-01    0.41291E+02
    0.18127E-01    0.41189E+02
    0.18493E-01    0.41067E+02
    0.18867E-01    0.40928E+02
    0.19248E-01    0.40770E+02
    0.19637E-01    0.40596E+02
    0.20034E-01    0.40404E+02
    0.20438E-01    0.40195E+02
    0.20851E-01    0.39966E+02
    0.21272E-01    0.39716E+02
    0.21702E-01    0.39446E+02
