#    L    TT             EE             TE             PP             TP          
     2    0.10813E+04    0.51413E-01    0.34798E+01    0.10938E+07    0.29446E+05
     3    0.10215E+04    0.85920E-01    0.43485E+01    0.16820E+07    0.35292E+05
     4    0.96144E+03    0.99195E-01    0.44906E+01    0.22024E+07    0.38083E+05
     5    0.91415E+03    0.90728E-01    0.41942E+01    0.26606E+07    0.39228E+05
     6    0.87950E+03    0.69399E-01    0.36847E+01    0.30640E+07    0.39445E+05
     7    0.85550E+03    0.45790E-01    0.31061E+01    0.34207E+07    0.39140E+05
     8    0.83956E+03    0.27108E-01    0.25476E+01    0.37373E+07    0.38491E+05
     9    0.82989E+03    0.15753E-01    0.20569E+01    0.40195E+07    0.37590E+05
    10    0.82511E+03    0.10540E-01    0.16619E+01    0.42713E+07    0.36541E+05
    11    0.82386E+03    0.88254E-02    0.13744E+01    0.44975E+07    0.35473E+05
    12    0.82635E+03    0.83057E-02    0.11968E+01    0.47000E+07    0.34449E+05
    13    0.83077E+03    0.76947E-02    0.11103E+01    0.48814E+07    0.33477E+05
    14    0.83619E+03    0.68414E-02    0.10908E+01    0.50445E+07    0.32544E+05
    15    0.84297E+03    0.60379E-02    0.11199E+01    0.51912E+07    0.31623E+05
    16    0.85158E+03    0.55861E-02    0.11816E+01    0.53229E+07    0.30695E+05
    17    0.86189E+03    0.56033E-02    0.12586E+01    0.54413E+07    0.29788E+05
    18    0.87293E+03    0.59385E-02    0.13369E+01    0.55479E+07    0.28931E+05
    19    0.88552E+03    0.64017E-02    0.14085E+01    0.56433E+07    0.28115E+05
    20    0.89800E+03    0.68845E-02    0.14663E+01    0.57283E+07    0.27322E+05
    21    0.91072E+03    0.73756E-02    0.15142E+01    0.58039E+07    0.26546E+05
    22    0.92398E+03    0.79767E-02    0.15566E+01    0.58715E+07    0.25788E+05
    23    0.93759E+03    0.87842E-02    0.15951E+01    0.59314E+07    0.25054E+05
    24    0.95161E+03    0.98469E-02    0.16309E+01    0.59842E+07    0.24354E+05
    25    0.96597E+03    0.11199E-01    0.16673E+01    0.60304E+07    0.23685E+05
    26    0.98050E+03    0.12822E-01    0.17083E+01    0.60708E+07    0.23046E+05
    27    0.99543E+03    0.14664E-01    0.17521E+01    0.61057E+07    0.22432E+05
    28    0.10106E+04    0.16700E-01    0.17971E+01    0.61357E+07    0.21842E+05
    29    0.10261E+04    0.18934E-01    0.18420E+01    0.61608E+07    0.21280E+05
