#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105171E-04   0.310711E+07   0.310711E+07   0.414251E+07   0.414251E+07   0.310749E+07   0.310712E+07   0.310711E+07   0.311556E+07  -0.600023E+00   0.309799E+07   0.309799E+07   0.837247E+01
   0.116124E-04   0.310711E+07   0.310711E+07   0.414245E+07   0.414244E+07   0.310749E+07   0.310712E+07   0.310711E+07   0.311556E+07  -0.600023E+00   0.309799E+07   0.309799E+07   0.924432E+01
   0.128218E-04   0.310711E+07   0.310711E+07   0.414237E+07   0.414236E+07   0.310749E+07   0.310712E+07   0.310711E+07   0.311555E+07  -0.600023E+00   0.309799E+07   0.309799E+07   0.102069E+02
   0.141570E-04   0.310711E+07   0.310711E+07   0.414227E+07   0.414225E+07   0.310748E+07   0.310712E+07   0.310711E+07   0.311555E+07  -0.600023E+00   0.309799E+07   0.309799E+07   0.112697E+02
   0.156314E-04   0.310711E+07   0.310711E+07   0.414215E+07   0.414213E+07   0.310748E+07   0.310712E+07   0.310711E+07   0.311555E+07  -0.600023E+00   0.309799E+07   0.309799E+07   0.124432E+02
   0.172593E-04   0.310711E+07   0.310711E+07   0.414200E+07   0.414198E+07   0.310748E+07   0.310712E+07   0.310711E+07   0.311555E+07  -0.600022E+00   0.309799E+07   0.309799E+07   0.137388E+02
   0.190567E-04   0.310710E+07   0.310710E+07   0.414182E+07   0.414180E+07   0.310748E+07   0.310712E+07   0.310710E+07   0.311555E+07  -0.600022E+00   0.309799E+07   0.309799E+07   0.151692E+02
   0.210413E-04   0.310710E+07   0.310710E+07   0.414160E+07   0.414157E+07   0.310748E+07   0.310711E+07   0.310710E+07   0.311555E+07  -0.600021E+00   0.309799E+07   0.309799E+07   0.167484E+02
   0.232326E-04   0.310710E+07   0.310710E+07   0.414133E+07   0.414130E+07   0.310748E+07   0.310711E+07   0.310710E+07   0.311554E+07  -0.600021E+00   0.309798E+07   0.309798E+07   0.184920E+02
   0.256521E-04   0.310710E+07   0.310710E+07   0.414101E+07   0.414097E+07   0.310747E+07   0.310711E+07   0.310710E+07   0.311554E+07  -0.600020E+00   0.309798E+07   0.309798E+07   0.204169E+02
   0.283236E-04   0.310710E+07   0.310710E+07   0.414061E+07   0.414056E+07   0.310747E+07   0.310711E+07   0.310710E+07   0.311554E+07  -0.600019E+00   0.309798E+07   0.309798E+07   0.225419E+02
   0.312733E-04   0.310709E+07   0.310709E+07   0.414013E+07   0.414007E+07   0.310746E+07   0.310710E+07   0.310709E+07   0.311553E+07  -0.600018E+00   0.309798E+07   0.309797E+07   0.248878E+02
   0.345301E-04   0.310709E+07   0.310709E+07   0.413954E+07   0.413947E+07   0.310746E+07   0.310710E+07   0.310709E+07   0.311553E+07  -0.600017E+00   0.309797E+07   0.309797E+07   0.274774E+02
   0.381262E-04   0.310708E+07   0.310708E+07   0.413883E+07   0.413873E+07   0.310745E+07   0.310709E+07   0.310708E+07   0.311552E+07  -0.600016E+00   0.309796E+07   0.309796E+07   0.303359E+02
   0.420968E-04   0.310707E+07   0.310707E+07   0.413795E+07   0.413784E+07   0.310744E+07   0.310708E+07   0.310707E+07   0.311551E+07  -0.600014E+00   0.309796E+07   0.309796E+07   0.334911E+02
   0.464808E-04   0.310707E+07   0.310706E+07   0.413689E+07   0.413675E+07   0.310743E+07   0.310708E+07   0.310707E+07   0.311550E+07  -0.600012E+00   0.309795E+07   0.309795E+07   0.369734E+02
   0.513214E-04   0.310706E+07   0.310705E+07   0.413559E+07   0.413542E+07   0.310742E+07   0.310707E+07   0.310705E+07   0.311549E+07  -0.600009E+00   0.309794E+07   0.309794E+07   0.408166E+02
   0.566662E-04   0.310704E+07   0.310704E+07   0.413401E+07   0.413380E+07   0.310740E+07   0.310705E+07   0.310704E+07   0.311547E+07  -0.600006E+00   0.309793E+07   0.309792E+07   0.450574E+02
   0.625675E-04   0.310703E+07   0.310703E+07   0.413208E+07   0.413183E+07   0.310738E+07   0.310704E+07   0.310703E+07   0.311545E+07  -0.600002E+00   0.309791E+07   0.309791E+07   0.497364E+02
   0.690835E-04   0.310701E+07   0.310701E+07   0.412973E+07   0.412943E+07   0.310735E+07   0.310702E+07   0.310701E+07   0.311543E+07  -0.599997E+00   0.309789E+07   0.309789E+07   0.548980E+02
   0.762780E-04   0.310699E+07   0.310698E+07   0.412686E+07   0.412650E+07   0.310732E+07   0.310700E+07   0.310698E+07   0.311540E+07  -0.599991E+00   0.309787E+07   0.309786E+07   0.605910E+02
   0.842218E-04   0.310696E+07   0.310695E+07   0.412338E+07   0.412293E+07   0.310729E+07   0.310697E+07   0.310696E+07   0.311536E+07  -0.599984E+00   0.309784E+07   0.309783E+07   0.668685E+02
   0.929929E-04   0.310692E+07   0.310692E+07   0.411913E+07   0.411859E+07   0.310724E+07   0.310693E+07   0.310692E+07   0.311532E+07  -0.599975E+00   0.309781E+07   0.309780E+07   0.737885E+02
   0.102677E-03   0.310688E+07   0.310688E+07   0.411395E+07   0.411329E+07   0.310719E+07   0.310689E+07   0.310688E+07   0.311527E+07  -0.599964E+00   0.309777E+07   0.309775E+07   0.814140E+02
   0.113370E-03   0.310683E+07   0.310683E+07   0.410765E+07   0.410685E+07   0.310712E+07   0.310684E+07   0.310683E+07   0.311520E+07  -0.599951E+00   0.309772E+07   0.309770E+07   0.898133E+02
   0.125177E-03   0.310677E+07   0.310676E+07   0.409998E+07   0.409901E+07   0.310704E+07   0.310678E+07   0.310677E+07   0.311512E+07  -0.599936E+00   0.309766E+07   0.309763E+07   0.990599E+02
   0.138213E-03   0.310669E+07   0.310669E+07   0.409065E+07   0.408947E+07   0.310694E+07   0.310670E+07   0.310669E+07   0.311503E+07  -0.599916E+00   0.309758E+07   0.309755E+07   0.109233E+03
   0.152607E-03   0.310660E+07   0.310659E+07   0.407930E+07   0.407786E+07   0.310682E+07   0.310661E+07   0.310660E+07   0.311491E+07  -0.599893E+00   0.309749E+07   0.309746E+07   0.120416E+03
