#           k/h    P           
    0.10000E-03    0.80573E+00
    0.10202E-03    0.82144E+00
    0.10408E-03    0.83746E+00
    0.10618E-03    0.85380E+00
    0.10833E-03    0.87045E+00
    0.11052E-03    0.88742E+00
    0.11275E-03    0.90473E+00
    0.11503E-03    0.92238E+00
    0.11735E-03    0.94037E+00
    0.11972E-03    0.95871E+00
    0.12214E-03    0.97740E+00
    0.12461E-03    0.99647E+00
    0.12712E-03    0.10159E+01
    0.12969E-03    0.10357E+01
    0.13231E-03    0.10559E+01
    0.13499E-03    0.10765E+01
    0.13771E-03    0.10975E+01
    0.14049E-03    0.11189E+01
    0.14333E-03    0.11407E+01
    0.14623E-03    0.11630E+01
    0.14918E-03    0.11856E+01
    0.15220E-03    0.12088E+01
    0.15527E-03    0.12323E+01
    0.15841E-03    0.12564E+01
    0.16161E-03    0.12808E+01
    0.16487E-03    0.13058E+01
    0.16820E-03    0.13313E+01
    0.17160E-03    0.13572E+01
    0.17507E-03    0.13837E+01
    0.17860E-03    0.14107E+01
    0.18221E-03    0.14382E+01
    0.18589E-03    0.14662E+01
    0.18965E-03    0.14948E+01
    0.19348E-03    0.15239E+01
    0.19739E-03    0.15537E+01
    0.20138E-03    0.15839E+01
    0.20544E-03    0.16148E+01
    0.20959E-03    0.16463E+01
    0.21383E-03    0.16784E+01
    0.21815E-03    0.17111E+01
    0.22255E-03    0.17444E+01
    0.22705E-03    0.17784E+01
    0.23164E-03    0.18131E+01
    0.23632E-03    0.18484E+01
    0.24109E-03    0.18845E+01
    0.24596E-03    0.19212E+01
    0.25093E-03    0.19586E+01
    0.25600E-03    0.19968E+01
    0.26117E-03    0.20357E+01
    0.26645E-03    0.20753E+01
    0.27183E-03    0.21158E+01
    0.27732E-03    0.21570E+01
    0.28292E-03    0.21990E+01
    0.28864E-03    0.22418E+01
    0.29447E-03    0.22855E+01
    0.30042E-03    0.23300E+01
    0.30649E-03    0.23754E+01
    0.31268E-03    0.24216E+01
    0.31899E-03    0.24688E+01
    0.32544E-03    0.25169E+01
    0.33201E-03    0.25659E+01
    0.33872E-03    0.26158E+01
    0.34556E-03    0.26667E+01
    0.35254E-03    0.27186E+01
    0.35966E-03    0.27715E+01
    0.36693E-03    0.28255E+01
    0.37434E-03    0.28804E+01
    0.38190E-03    0.29365E+01
    0.38962E-03    0.29936E+01
    0.39749E-03    0.30518E+01
    0.40552E-03    0.31112E+01
    0.41371E-03    0.31717E+01
    0.42207E-03    0.32334E+01
    0.43060E-03    0.32962E+01
    0.43929E-03    0.33603E+01
    0.44817E-03    0.34256E+01
    0.45722E-03    0.34922E+01
    0.46646E-03    0.35600E+01
