#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.10812E+04    0.34794E+01    0.12885E-02    0.34794E+01    0.51395E-01   -0.65846E-05    0.12885E-02   -0.65846E-05    0.88055E-08
     3    0.10215E+04    0.43472E+01    0.91528E-03    0.43472E+01    0.85890E-01   -0.57530E-05    0.91528E-03   -0.57530E-05    0.53523E-08
     4    0.96147E+03    0.44884E+01    0.69460E-03    0.44884E+01    0.99159E-01   -0.45551E-05    0.69460E-03   -0.45551E-05    0.36970E-08
     5    0.91422E+03    0.41911E+01    0.54968E-03    0.41911E+01    0.90693E-01   -0.33482E-05    0.54968E-03   -0.33482E-05    0.27450E-08
     6    0.87961E+03    0.36810E+01    0.44799E-03    0.36810E+01    0.69369E-01   -0.22607E-05    0.44799E-03   -0.22607E-05    0.21351E-08
     7    0.85562E+03    0.31021E+01    0.37341E-03    0.31021E+01    0.45766E-01   -0.13529E-05    0.37341E-03   -0.13529E-05    0.17162E-08
     8    0.83969E+03    0.25440E+01    0.31645E-03    0.25440E+01    0.27093E-01   -0.65209E-06    0.31645E-03   -0.65209E-06    0.14137E-08
     9    0.83002E+03    0.20538E+01    0.27146E-03    0.20538E+01    0.15749E-01   -0.16054E-06    0.27146E-03   -0.16054E-06    0.11869E-08
    10    0.82525E+03    0.16591E+01    0.23528E-03    0.16591E+01    0.10551E-01    0.14450E-06    0.23528E-03    0.14450E-06    0.10119E-08
    11    0.82401E+03    0.13717E+01    0.20607E-03    0.13717E+01    0.88490E-02    0.30103E-06    0.20607E-03    0.30103E-06    0.87362E-09
    12    0.82649E+03    0.11944E+01    0.18227E-03    0.11944E+01    0.83358E-02    0.34579E-06    0.18227E-03    0.34579E-06    0.76201E-09
    13    0.83091E+03    0.11084E+01    0.16266E-03    0.11084E+01    0.77231E-02    0.30911E-06    0.16266E-03    0.30911E-06    0.67075E-09
    14    0.83633E+03    0.10889E+01    0.14618E-03    0.10889E+01    0.68594E-02    0.22071E-06    0.14618E-03    0.22071E-06    0.59487E-09
    15    0.84312E+03    0.11178E+01    0.13210E-03    0.11178E+01    0.60405E-02    0.11364E-06    0.13210E-03    0.11364E-06    0.53115E-09
    16    0.85174E+03    0.11788E+01    0.11984E-03    0.11788E+01    0.55727E-02    0.17274E-07    0.11984E-03    0.17274E-07    0.47701E-09
    17    0.86206E+03    0.12551E+01    0.10916E-03    0.12551E+01    0.55760E-02   -0.57128E-07    0.10916E-03   -0.57128E-07    0.43066E-09
    18    0.87311E+03    0.13328E+01    0.99893E-04    0.13328E+01    0.59013E-02   -0.10495E-06    0.99893E-04   -0.10495E-06    0.39062E-09
