#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105184E-04   0.108955E+08   0.108955E+08   0.145235E+08   0.145234E+08   0.108961E+08   0.108955E+08   0.108955E+08   0.109037E+08  -0.580767E+00   0.988949E+07   0.988949E+07   0.984927E+01
   0.116143E-04   0.108955E+08   0.108955E+08   0.145227E+08   0.145225E+08   0.108961E+08   0.108955E+08   0.108955E+08   0.109037E+08  -0.580767E+00   0.988949E+07   0.988949E+07   0.108752E+02
   0.128244E-04   0.108955E+08   0.108955E+08   0.145217E+08   0.145215E+08   0.108961E+08   0.108955E+08   0.108955E+08   0.109037E+08  -0.580767E+00   0.988949E+07   0.988949E+07   0.120080E+02
   0.141606E-04   0.108955E+08   0.108955E+08   0.145204E+08   0.145202E+08   0.108961E+08   0.108955E+08   0.108955E+08   0.109037E+08  -0.580766E+00   0.988948E+07   0.988948E+07   0.132587E+02
   0.156360E-04   0.108955E+08   0.108955E+08   0.145189E+08   0.145186E+08   0.108961E+08   0.108955E+08   0.108955E+08   0.109037E+08  -0.580766E+00   0.988948E+07   0.988948E+07   0.146396E+02
   0.172651E-04   0.108955E+08   0.108955E+08   0.145171E+08   0.145167E+08   0.108961E+08   0.108955E+08   0.108955E+08   0.109037E+08  -0.580766E+00   0.988948E+07   0.988947E+07   0.161642E+02
   0.190639E-04   0.108955E+08   0.108955E+08   0.145148E+08   0.145144E+08   0.108961E+08   0.108955E+08   0.108955E+08   0.109036E+08  -0.580765E+00   0.988947E+07   0.988947E+07   0.178473E+02
   0.210501E-04   0.108954E+08   0.108954E+08   0.145121E+08   0.145115E+08   0.108960E+08   0.108955E+08   0.108954E+08   0.109036E+08  -0.580765E+00   0.988946E+07   0.988946E+07   0.197055E+02
   0.232433E-04   0.108954E+08   0.108954E+08   0.145088E+08   0.145081E+08   0.108960E+08   0.108954E+08   0.108954E+08   0.109036E+08  -0.580764E+00   0.988945E+07   0.988945E+07   0.217568E+02
   0.256650E-04   0.108954E+08   0.108954E+08   0.145047E+08   0.145038E+08   0.108960E+08   0.108954E+08   0.108954E+08   0.109036E+08  -0.580763E+00   0.988944E+07   0.988944E+07   0.240213E+02
   0.283390E-04   0.108954E+08   0.108954E+08   0.144998E+08   0.144987E+08   0.108960E+08   0.108954E+08   0.108954E+08   0.109036E+08  -0.580762E+00   0.988943E+07   0.988942E+07   0.265208E+02
   0.312916E-04   0.108954E+08   0.108954E+08   0.144937E+08   0.144924E+08   0.108960E+08   0.108954E+08   0.108954E+08   0.109036E+08  -0.580761E+00   0.988941E+07   0.988940E+07   0.292797E+02
   0.345519E-04   0.108954E+08   0.108954E+08   0.144864E+08   0.144848E+08   0.108959E+08   0.108954E+08   0.108954E+08   0.109035E+08  -0.580759E+00   0.988939E+07   0.988938E+07   0.323246E+02
   0.381518E-04   0.108953E+08   0.108953E+08   0.144774E+08   0.144755E+08   0.108959E+08   0.108953E+08   0.108953E+08   0.109035E+08  -0.580757E+00   0.988936E+07   0.988936E+07   0.356846E+02
   0.421268E-04   0.108953E+08   0.108953E+08   0.144665E+08   0.144642E+08   0.108959E+08   0.108953E+08   0.108953E+08   0.109035E+08  -0.580755E+00   0.988933E+07   0.988933E+07   0.393921E+02
   0.465159E-04   0.108953E+08   0.108953E+08   0.144532E+08   0.144503E+08   0.108958E+08   0.108953E+08   0.108953E+08   0.109034E+08  -0.580752E+00   0.988929E+07   0.988929E+07   0.434823E+02
   0.513623E-04   0.108952E+08   0.108952E+08   0.144369E+08   0.144335E+08   0.108957E+08   0.108952E+08   0.108952E+08   0.109034E+08  -0.580749E+00   0.988925E+07   0.988924E+07   0.479937E+02
   0.567137E-04   0.108951E+08   0.108951E+08   0.144172E+08   0.144130E+08   0.108957E+08   0.108952E+08   0.108951E+08   0.109033E+08  -0.580745E+00   0.988919E+07   0.988918E+07   0.529686E+02
   0.626227E-04   0.108951E+08   0.108951E+08   0.143932E+08   0.143881E+08   0.108956E+08   0.108951E+08   0.108951E+08   0.109032E+08  -0.580740E+00   0.988912E+07   0.988911E+07   0.584530E+02
   0.691473E-04   0.108950E+08   0.108950E+08   0.143639E+08   0.143577E+08   0.108954E+08   0.108950E+08   0.108950E+08   0.109031E+08  -0.580733E+00   0.988904E+07   0.988902E+07   0.644970E+02
   0.763516E-04   0.108949E+08   0.108948E+08   0.143283E+08   0.143208E+08   0.108953E+08   0.108949E+08   0.108949E+08   0.109029E+08  -0.580726E+00   0.988893E+07   0.988892E+07   0.711548E+02
   0.843066E-04   0.108947E+08   0.108947E+08   0.142850E+08   0.142759E+08   0.108951E+08   0.108947E+08   0.108947E+08   0.109028E+08  -0.580717E+00   0.988881E+07   0.988879E+07   0.784849E+02
   0.930904E-04   0.108946E+08   0.108945E+08   0.142324E+08   0.142213E+08   0.108949E+08   0.108946E+08   0.108946E+08   0.109026E+08  -0.580706E+00   0.988866E+07   0.988863E+07   0.865500E+02
   0.102789E-03   0.108944E+08   0.108943E+08   0.141685E+08   0.141550E+08   0.108946E+08   0.108943E+08   0.108943E+08   0.109023E+08  -0.580692E+00   0.988847E+07   0.988844E+07   0.954167E+02
   0.113499E-03   0.108941E+08   0.108941E+08   0.140910E+08   0.140746E+08   0.108943E+08   0.108941E+08   0.108941E+08   0.109020E+08  -0.580675E+00   0.988824E+07   0.988820E+07   0.105156E+03
   0.125324E-03   0.108938E+08   0.108937E+08   0.139971E+08   0.139771E+08   0.108939E+08   0.108938E+08   0.108938E+08   0.109017E+08  -0.580655E+00   0.988797E+07   0.988792E+07   0.115840E+03
   0.138382E-03   0.108934E+08   0.108934E+08   0.138833E+08   0.138592E+08   0.108934E+08   0.108934E+08   0.108934E+08   0.109012E+08  -0.580630E+00   0.988763E+07   0.988758E+07   0.127544E+03
   0.152799E-03   0.108930E+08   0.108929E+08   0.137458E+08   0.137166E+08   0.108928E+08   0.108930E+08   0.108930E+08   0.109007E+08  -0.580601E+00   0.988722E+07   0.988716E+07   0.140344E+03
   0.168719E-03   0.108924E+08   0.108923E+08   0.135800E+08   0.135447E+08   0.108920E+08   0.108924E+08   0.108924E+08   0.109001E+08  -0.580564E+00   0.988673E+07   0.988664E+07   0.154311E+03
   0.186298E-03   0.108918E+08   0.108916E+08   0.133803E+08   0.133378E+08   0.108912E+08   0.108917E+08   0.108917E+08   0.108993E+08  -0.580520E+00   0.988612E+07   0.988602E+07   0.169511E+03
   0.205708E-03   0.108909E+08   0.108908E+08   0.131408E+08   0.130896E+08   0.108901E+08   0.108909E+08   0.108909E+08   0.108983E+08  -0.580466E+00   0.988538E+07   0.988526E+07   0.186000E+03
   0.227141E-03   0.108900E+08   0.108898E+08   0.128542E+08   0.127929E+08   0.108888E+08   0.108899E+08   0.108899E+08   0.108972E+08  -0.580401E+00   0.988449E+07   0.988434E+07   0.203815E+03
   0.250806E-03   0.108888E+08   0.108885E+08   0.125130E+08   0.124398E+08   0.108872E+08   0.108887E+08   0.108887E+08   0.108957E+08  -0.580322E+00   0.988340E+07   0.988321E+07   0.222967E+03
   0.276938E-03   0.108873E+08   0.108870E+08   0.121088E+08   0.120218E+08   0.108852E+08   0.108872E+08   0.108873E+08   0.108940E+08  -0.580227E+00   0.988207E+07   0.988185E+07   0.243430E+03
   0.305791E-03   0.108855E+08   0.108852E+08   0.116331E+08   0.115303E+08   0.108829E+08   0.108854E+08   0.108855E+08   0.108920E+08  -0.580111E+00   0.988046E+07   0.988020E+07   0.265126E+03
   0.337651E-03   0.108834E+08   0.108830E+08   0.110777E+08   0.109570E+08   0.108800E+08   0.108833E+08   0.108833E+08   0.108895E+08  -0.579972E+00   0.987851E+07   0.987820E+07   0.287908E+03
   0.372831E-03   0.108808E+08   0.108803E+08   0.104355E+08   0.102950E+08   0.108765E+08   0.108807E+08   0.108807E+08   0.108865E+08  -0.579804E+00   0.987615E+07   0.987577E+07   0.311541E+03
   0.411676E-03   0.108777E+08   0.108771E+08   0.970184E+07   0.953998E+07   0.108723E+08   0.108775E+08   0.108776E+08   0.108829E+08  -0.579603E+00   0.987329E+07   0.987284E+07   0.335676E+03
   0.454568E-03   0.108739E+08   0.108732E+08   0.887623E+07   0.869220E+07   0.108672E+08   0.108737E+08   0.108738E+08   0.108786E+08  -0.579362E+00   0.986983E+07   0.986930E+07   0.359831E+03
   0.501929E-03   0.108693E+08   0.108685E+08   0.796431E+07   0.775835E+07   0.108611E+08   0.108691E+08   0.108692E+08   0.108735E+08  -0.579075E+00   0.986567E+07   0.986504E+07   0.383365E+03
   0.554224E-03   0.108638E+08   0.108628E+08   0.698026E+07   0.675424E+07   0.108537E+08   0.108635E+08   0.108637E+08   0.108674E+08  -0.578734E+00   0.986065E+07   0.985992E+07   0.405469E+03
   0.611968E-03   0.108573E+08   0.108561E+08   0.594907E+07   0.570700E+07   0.108448E+08   0.108569E+08   0.108571E+08   0.108602E+08  -0.578330E+00   0.985464E+07   0.985379E+07   0.425165E+03
   0.675728E-03   0.108494E+08   0.108481E+08   0.490790E+07   0.465640E+07   0.108341E+08   0.108490E+08   0.108492E+08   0.108517E+08  -0.577855E+00   0.984744E+07   0.984647E+07   0.441334E+03
   0.746132E-03   0.108401E+08   0.108385E+08   0.390545E+07   0.365389E+07   0.108213E+08   0.108396E+08   0.108398E+08   0.108417E+08  -0.577298E+00   0.983886E+07   0.983776E+07   0.452781E+03
   0.823870E-03   0.108290E+08   0.108272E+08   0.299779E+07   0.275799E+07   0.108061E+08   0.108284E+08   0.108287E+08   0.108300E+08  -0.576648E+00   0.982868E+07   0.982745E+07   0.458350E+03
   0.909708E-03   0.108160E+08   0.108139E+08   0.223936E+07   0.202433E+07   0.107879E+08   0.108152E+08   0.108156E+08   0.108164E+08  -0.575896E+00   0.981664E+07   0.981529E+07   0.457086E+03
   0.100449E-02   0.108006E+08   0.107983E+08   0.166897E+07   0.149074E+07   0.107664E+08   0.107997E+08   0.108003E+08   0.108007E+08  -0.575026E+00   0.980249E+07   0.980102E+07   0.448432E+03
   0.110915E-02   0.107827E+08   0.107801E+08   0.129357E+07   0.116026E+07   0.107410E+08   0.107816E+08   0.107823E+08   0.107823E+08  -0.574024E+00   0.978592E+07   0.978436E+07   0.432418E+03
   0.122471E-02   0.107617E+08   0.107590E+08   0.107718E+07   0.990155E+06   0.107110E+08   0.107606E+08   0.107613E+08   0.107612E+08  -0.572873E+00   0.976664E+07   0.976500E+07   0.409774E+03
   0.135231E-02   0.107375E+08   0.107346E+08   0.946042E+06   0.898700E+06   0.106758E+08   0.107361E+08   0.107370E+08   0.107366E+08  -0.571550E+00   0.974429E+07   0.974260E+07   0.381885E+03
   0.149320E-02   0.107094E+08   0.107064E+08   0.818500E+06   0.798174E+06   0.106345E+08   0.107078E+08   0.107090E+08   0.107083E+08  -0.570031E+00   0.971850E+07   0.971679E+07   0.350552E+03
   0.164878E-02   0.106771E+08   0.106740E+08   0.652393E+06   0.645320E+06   0.105864E+08   0.106753E+08   0.106766E+08   0.106756E+08  -0.568285E+00   0.968884E+07   0.968713E+07   0.317633E+03
   0.182056E-02   0.106400E+08   0.106369E+08   0.475805E+06   0.472234E+06   0.105305E+08   0.106379E+08   0.106395E+08   0.106381E+08  -0.566282E+00   0.965482E+07   0.965312E+07   0.284765E+03
   0.201024E-02   0.105975E+08   0.105943E+08   0.356397E+06   0.351676E+06   0.104657E+08   0.105950E+08   0.105970E+08   0.105952E+08  -0.563990E+00   0.961587E+07   0.961421E+07   0.253359E+03
   0.221969E-02   0.105489E+08   0.105457E+08   0.314976E+06   0.280794E+06   0.103909E+08   0.105460E+08   0.105484E+08   0.105462E+08  -0.561375E+00   0.957140E+07   0.956978E+07   0.224770E+03
   0.245096E-02   0.104936E+08   0.104903E+08   0.286619E+06   0.229092E+06   0.103048E+08   0.104902E+08   0.104930E+08   0.104904E+08  -0.558398E+00   0.952075E+07   0.951915E+07   0.200163E+03
   0.270632E-02   0.104307E+08   0.104274E+08   0.218854E+06   0.186767E+06   0.102062E+08   0.104268E+08   0.104302E+08   0.104269E+08  -0.555018E+00   0.946323E+07   0.946164E+07   0.179889E+03
   0.298829E-02   0.103595E+08   0.103560E+08   0.161381E+06   0.152130E+06   0.100938E+08   0.103550E+08   0.103590E+08   0.103550E+08  -0.551190E+00   0.939810E+07   0.939651E+07   0.163091E+03
   0.329963E-02   0.102792E+08   0.102754E+08   0.143795E+06   0.123797E+06   0.996648E+07   0.102739E+08   0.102786E+08   0.102739E+08  -0.546870E+00   0.932459E+07   0.932299E+07   0.148375E+03
   0.364342E-02   0.101888E+08   0.101848E+08   0.111112E+06   0.100633E+06   0.982310E+07   0.101826E+08   0.101881E+08   0.101827E+08  -0.542012E+00   0.924191E+07   0.924031E+07   0.134639E+03
   0.402302E-02   0.100875E+08   0.100832E+08   0.905644E+05   0.817073E+05   0.966277E+07   0.100804E+08   0.100868E+08   0.100804E+08  -0.536568E+00   0.914927E+07   0.914768E+07   0.121313E+03
   0.444218E-02   0.997437E+07   0.996978E+07   0.799574E+05   0.662539E+05   0.948481E+07   0.996626E+07   0.997365E+07   0.996631E+07  -0.530491E+00   0.904587E+07   0.904429E+07   0.108765E+03
   0.490500E-02   0.984862E+07   0.984363E+07   0.562288E+05   0.536461E+05   0.928868E+07   0.983938E+07   0.984784E+07   0.983942E+07  -0.523736E+00   0.893092E+07   0.892936E+07   0.977043E+02
   0.541605E-02   0.970939E+07   0.970388E+07   0.470855E+05   0.433690E+05   0.907402E+07   0.969893E+07   0.970852E+07   0.969896E+07  -0.516259E+00   0.880368E+07   0.880212E+07   0.881568E+02
   0.598034E-02   0.955590E+07   0.954978E+07   0.382057E+05   0.350003E+05   0.884046E+07   0.954414E+07   0.955494E+07   0.954416E+07  -0.508018E+00   0.866345E+07   0.866190E+07   0.795723E+02
   0.660342E-02   0.938744E+07   0.938061E+07   0.268733E+05   0.281934E+05   0.858781E+07   0.937430E+07   0.938637E+07   0.937432E+07  -0.498978E+00   0.850960E+07   0.850806E+07   0.715726E+02
